Query,Title,Year,Citations,Authors,URL,Abstract,Relevance_Score
material,Crystal Graph Convolutional Neural Networks for an Accurate and Interpretable Prediction of Material Properties.,2017,1729,T. Xie; J. Grossman,https://www.semanticscholar.org/paper/d133cb102ad0f81e3fd17a7db090b28afc124c4a,"The use of machine learning methods for accelerating the design of crystalline materials usually requires manually constructed feature vectors or complex transformation of atom coordinates to input the crystal structure, which either constrains the model to certain crystal types or makes it difficult to provide chemical insights. Here, we develop a crystal graph convolutional neural networks framework to directly learn material properties from the connection of atoms in the crystal, providing a universal and interpretable representation of crystalline materials. Our method provides a highly accurate prediction of density functional theory calculated properties for eight different properties of crystals with various structure types and compositions after being trained with 10^{4} data points. Further, our framework is interpretable because one can extract the contributions from local chemical environments to global properties. Using an example of perovskites, we show how this information can be utilized to discover empirical rules for materials design.",60
material,Spectrofluorometric characterization of dissolved organic matter for indication of precursor organic material and aromaticity,2001,2775,D. McKnight; E. Boyer; P. Westerhoff; P. Doran; T. Kulbe; D. Andersen,https://www.semanticscholar.org/paper/19008b44c6fdeb161105b2e600618b15f5e3d74c,,60
material,Developing fibrillated cellulose as a sustainable technological material,2021,1206,Tian Li; Chaoji Chen; Alexandra H. Brozena; J. Zhu; Li-Xing Xu; C. Driemeier; J. Dai; O. Rojas; A. Isogai; L. Wågberg; Liangbing Hu,https://www.semanticscholar.org/paper/d073b86dbc00af83630c546e1907a74b20acf2dc,,60
material,Wood handbook : wood as an engineering material,2010,2722,R. Ross,https://www.semanticscholar.org/paper/5af2f0a869100c942ea63c9627e034f48ca37125,,60
material,Material Science and Engineering,2022,525,Fadi Hage Chehade; Chen Hu; Ke Wang,https://www.semanticscholar.org/paper/95792e2c19e5f79082ffa856048f730878c79a49,"Answer FIVE questions, taking ANY TWO from Group A, ANY TWO from Group B and ALL from Group C. All parts of a question (a, b, etc) should be answered atone place, Answer should be brief and to-the-point and be supplemented with neat sketches. Unnecessary long answers may result in loss of marks. Any missing data ,or wrong data may be assumed suitably giving proper justification. Figures on the right-hand side margin indicate full marks. 1. (a) What is a Burger vector? Show it by drawing a Burger circuit? What is Frank-Read source? State its importance in plastic deformation. 2+2+2 (b) Distinguish between: (2x2)+ (2x2) (i) Slip and Cross slip (ii) Sessile dislocation and Glissile dislocation. (c) What is Critical Resolved Shear Stress? Derive its formulae. 2+2 (d) Calculate the degree of freedom of ice and water kept in a beaker at 1 atmosphere pressure. 2 2. (a) State Fick's laws of Diffusion. How can it help you m the problems of Case Carburising? Given an activation energy, Q of 142 kJ/mol, for the diffusion of carbon in FCC iron and an initial temperature of 1000 K, find the temperature that will increase the diffusion coefficient by a factor 10. [R =8.314 J/(mol.K)]: Will you use a very high temperature? 2+2+(3+1) (b) What is a Phase? What is the difference between α-iron and ferrite? Define an invariant reaction with an example. 2+2 (c) Differentiate between: (2x2)+ (2x2) (i) Phase Rule and Phase Diagram, (ii) Solvus Line and Solidus Line. 3. (a) Explain Lever Rule with a Tie Line. Find the weight percentage of pro-eutectoid ferrite just above, the eutectoid temperature of a 0 3%C-steel. 2+2 (b) Derive the relationship between True Strain and Engineering Strain. What is Resilience? Why is it important for spring material? 2+(1 +1) (c) Describe Yield Point Phenomenon. Draw the engineering stress-strain diagram of Glass. Why does necking occur during tension test of a ductile material 2+2+2 (d) Justify: 2x3 (i) Zinc is not as ductile as copper (ii) Cold working increases hardness of materials (iii) Steel is a brittle material at sub-zero atmosphere. 4. (a) Suggest one suitable material for each of the following purpose with justifications: 2x5 (i) File Cabinet (ii) WaterTap (iii) Manhole Cover (iv) Garden Chair (v) Glass Cutter.",60
material,A radiative cooling structural material,2019,1220,Tian Li; Yao Zhai; Shuaiming He; Wentao Gan; Zhiyuan Wei; Mohammad Heidarinejad; Daniel A. Dalgo; Ruiyu Mi; Xinpeng Zhao; Jianwei Song; J. Dai; Chaoji Chen; Ablimit Aili; Azhar Vellore; A. Martini; Ronggui Yang; J. Srebric; Xiaobo Yin; Liangbing Hu,https://www.semanticscholar.org/paper/0355e1ec25acb9be83063ac5b0e410a2e23e0bf6,"A stronger, cooler wood One good way to reduce the amount of cooling a building needs is to make sure it reflects away infrared radiation. Passive radiative cooling materials are engineered to do this extremely well. Li et al. engineered a wood through delignification and re-pressing to create a mechanically strong material that also cools passively. They modeled the cooling savings of their wood for 16 different U.S. cities, which suggested savings between 20 and 50%. Cooling wood would be of particular value in hot and dry climates. Science, this issue p. 760 A process of delignification and reapplication of pressure creates a strong wood-based passive radiative cooling material. Reducing human reliance on energy-inefficient cooling methods such as air conditioning would have a large impact on the global energy landscape. By a process of complete delignification and densification of wood, we developed a structural material with a mechanical strength of 404.3 megapascals, more than eight times that of natural wood. The cellulose nanofibers in our engineered material backscatter solar radiation and emit strongly in mid-infrared wavelengths, resulting in continuous subambient cooling during both day and night. We model the potential impact of our cooling wood and find energy savings between 20 and 60%, which is most pronounced in hot and dry climates.",60
material,A fluorene-terminated hole-transporting material for highly efficient and stable perovskite solar cells,2018,1824,N. Jeon; Hyejin Na; E. Jung; Tae-Youl Yang; Yong Guk Lee; Geunjin Kim; H. Shin; Sang Il Seok; Jaemin Lee; Jangwon Seo,https://www.semanticscholar.org/paper/cd4c2eb107c8cad3447fe0db846dbae4c6058515,,60
material,Material Inhomogeneities in Elasticity,2020,777,G. Maugin,https://www.semanticscholar.org/paper/94794a2e1111820ec20dd78305157878e64e5672,,60
material,A continuum theory of elastic material surfaces,1975,3009,M. Gurtin; A. Ian Murdoch,https://www.semanticscholar.org/paper/dc191aff30c3abe780f8db5d83207a251794e8de,,60
material,Processing bulk natural wood into a high-performance structural material,2018,1239,Jianwei Song; Chaoji Chen; Shuze Zhu; Mingwei Zhu; J. Dai; Upamanyu Ray; Yiju Li; Yudi Kuang; Yongfeng Li; Nelson Quispe; Yonggang Yao; Amy Gong; U. Leiste; Hugh Alan Bruck; J. Y. Zhu; Azhar Vellore; Heng Li; Marilyn L. Minus; Z. Jia; A. Martini; Teng Li; Liangbing Hu,https://www.semanticscholar.org/paper/ebb83681967d065b6b47d483607fc793a03d5a10,,60
