Author,Article_Count
8700,3
Leoben,3
Austria.,3
Montanuniversität Leoben,2
Chemnitz University of Technology,2
Chemnitz,2
Germany.,2
L. Zhao,1
T. L. Hung,1
C. C. Li,1
Y. Y. Chen,1
M. K. Wu,1
R. K. Kremer,1
M. G. Banks,1
A. Simon,1
M. H. Whangbo,1
C. Lee,1
J. S. Kim,1
I. Kim,1
K. H. Kim,1
Muhammad Zubair Khan,1
Oleg E. Peil,1
Apoorva Sharma,1
Oleksandr Selyshchev,1
Sergio Valencia,1
Florian Kronast,1
Maik Zimmermann,1
Muhammad Awais Aslam,1
Johann G. Raith,1
Christian Teichert,1
Dietrich R. T. Zahn,1
Georgeta Salvan,1
Aleksandar Matković,1
Chair of Physics,1
Department Physics,1
Mechanics,1
Electrical engineering,1
Materials Center Leoben Forschung GmbH,1
Semiconductor Physics,1
D-09107,1
Department of Spin,1
Topology in Quantum Materials,1
Helmholtz-Zentrum Berlin,1
Albert-Einstein-Str. 15,1
D-12489,1
Berlin,1
Chair of Resource Mineralogy,1
Centre for Materials,1
Architecture,1
Integration of Nanomembranes,1
09126,1
Germany,1
Yimo Han,1
Ming-Yang Li,1
Gang-Seob Jung,1
Mark A. Marsalis,1
Zhao Qin,1
Markus J. Buehler,1
Lain-Jong Li,1
David A. Muller,1
Yusheng Hou,1
Ruqian Wu,1
K. Z. Rushchanskii,1
S. Kamba,1
V. Goian,1
P. Vanvek,1
M. Savinov,1
J. Provlevska,1
D. Nuzhnyy,1
K. Knivsek,1
F. Laufek,1
S. Eckel,1
S. K. Lamoreaux,1
A. O. Sushkov,1
M. Lezaic,1
N. A. Spaldin,1
Arka Bandyopadhyay,1
Nesta Benno Joseph,1
Awadhesh Narayan,1
Xiaokang Li,1
Zengwei Zhu,1
Kamran Behnia,1
Dimitrie Culcer,1
Aydin Cem Keser,1
Yongqing Li,1
Grigory Tkachov,1
Yizhou Liu,1
Jiewen Xiao,1
Jahyun Koo,1
Binghai Yan,1
Gang V. Chen,1
Congjun Wu,1
