title,citations,authors,url,source
CuBr2-A New Multiferroic Material with High Critical Temperature,0,"L. Zhao, T. L. Hung, C. C. Li, Y. Y. Chen, M. K. Wu, R. K. Kremer, M. G. Banks, A. Simon, M. H. Whangbo, C. Lee, J. S. Kim, I. Kim, K. H. Kim",https://arxiv.org/pdf/1205.5318v1,ArXiv
Probing magnetic ordering in air stable iron-rich van der Waals minerals,0,"Muhammad Zubair Khan, Oleg E. Peil, Apoorva Sharma, Oleksandr Selyshchev, Sergio Valencia, Florian Kronast, Maik Zimmermann, Muhammad Awais Aslam, Johann G. Raith, Christian Teichert, Dietrich R. T. Zahn, Georgeta Salvan, Aleksandar Matković, Chair of Physics, Department Physics, Mechanics, Electrical engineering, Montanuniversität Leoben, 8700, Leoben, Austria., Materials Center Leoben Forschung GmbH, 8700, Leoben, Austria., Semiconductor Physics, Chemnitz University of Technology, D-09107, Chemnitz, Germany., Department of Spin, Topology in Quantum Materials, Helmholtz-Zentrum Berlin, Albert-Einstein-Str. 15, D-12489, Berlin, Germany., Chair of Resource Mineralogy, Montanuniversität Leoben, 8700, Leoben, Austria., Centre for Materials, Architecture, Integration of Nanomembranes, Chemnitz University of Technology, 09126, Chemnitz, Germany",https://arxiv.org/pdf/2304.06533v1,ArXiv
Sub-Nanometer Channels Embedded in Two-Dimensional Materials,0,"Yimo Han, Ming-Yang Li, Gang-Seob Jung, Mark A. Marsalis, Zhao Qin, Markus J. Buehler, Lain-Jong Li, David A. Muller",https://arxiv.org/pdf/1707.09880v2,ArXiv
"Magnetic Anisotropy in Two-dimensional van der Waals Magnetic Materials and Their Heterostructures: Importance, Mechanisms, and Opportunities",0,"Yusheng Hou, Ruqian Wu",https://arxiv.org/pdf/2508.04952v1,ArXiv
First-principles design and subsequent synthesis of a material to search for the permanent electric dipole moment of the electron,0,"K. Z. Rushchanskii, S. Kamba, V. Goian, P. Vanvek, M. Savinov, J. Provlevska, D. Nuzhnyy, K. Knivsek, F. Laufek, S. Eckel, S. K. Lamoreaux, A. O. Sushkov, M. Lezaic, N. A. Spaldin",https://arxiv.org/pdf/1002.0376v2,ArXiv
Non-linear Hall Effects: Mechanisms and Materials,0,"Arka Bandyopadhyay, Nesta Benno Joseph, Awadhesh Narayan",https://arxiv.org/pdf/2401.02282v2,ArXiv
A mono-material Nernst thermopile with hermaphroditic legs,0,"Xiaokang Li, Zengwei Zhu, Kamran Behnia",https://arxiv.org/pdf/2103.01467v1,ArXiv
Transport in two-dimensional topological materials: recent developments in experiment and theory,0,"Dimitrie Culcer, Aydin Cem Keser, Yongqing Li, Grigory Tkachov",https://arxiv.org/pdf/1907.10058v1,ArXiv
Chirality driven topological electronic structure of DNA-like materials,0,"Yizhou Liu, Jiewen Xiao, Jahyun Koo, Binghai Yan",https://arxiv.org/pdf/2008.08881v2,ArXiv
Multiflavor Mott insulators in quantum materials and ultracold atoms,0,"Gang V. Chen, Congjun Wu",https://arxiv.org/pdf/2112.02630v2,ArXiv
