title,citations,authors,url,source
Supporting Online Material for Reducing the Dimensionality of Data with Neural Networks,11173,Geoffrey E. Hinton; R. Salakhutdinov,https://www.semanticscholar.org/paper/02552a8b40f3a82a5353f596264db71d899a9b4a,Semantic/Filtered
Material science and engineering : an introduction,6797,W. Callister,https://www.semanticscholar.org/paper/6bf730b3b42d8f7d4b3b6c2efdccaefbabfe981e,Semantic/Filtered
Supporting Online Material,6788,Niclas Jonzén; Andreas Lindén; Torbjørn Ergon; E. Knudsen; J. Vik; Diego Rubolini; D. Piacentini; Christian Brinch; Fernando Spina; Lennart Karlsson; Martin Stervander; Arne Andersson; Jonas Waldenström; A. Lehikoinen; Erik Edvardsen; Rune Solvang; Nils Chr. Stenseth,https://www.semanticscholar.org/paper/08991e0beb2c575d171f9b509d91b65d15777fac,Semantic/Filtered
Semiconductor Material and Device Characterization,6784,D. Schroder,https://www.semanticscholar.org/paper/032a594d5edf02fd92b14b0fb3e853ee8067871c,Semantic/Filtered
Cellulose: fascinating biopolymer and sustainable raw material.,6754,D. Klemm; B. Heublein; H. Fink; A. Bohn,https://www.semanticscholar.org/paper/d0961cb91f79877dd5cc0fac9df3fb7157ddad12,Semantic/Filtered
Optimal shape design as a material distribution problem,4217,M. Bendsøe,https://www.semanticscholar.org/paper/51985a7551a99f838a1cc2b642c2ea371ce2d686,Semantic/Filtered
The Supplementary Material,3641,Yunbo Zhang; Wenhao Yu; Greg Turk; A. T. Hyperparameters,https://www.semanticscholar.org/paper/ce162539dc509b4b114554efcf0da16f6901df93,Semantic/Filtered
A New Constitutive Framework for Arterial Wall Mechanics and a Comparative Study of Material Models,3399,G. Holzapfel; T. Gasser; R. Ogden,https://www.semanticscholar.org/paper/5b43d4b435281f204a7a5bf450c88a267ae7093a,Semantic/Filtered
A continuum theory of elastic material surfaces,3009,M. Gurtin; A. Ian Murdoch,https://www.semanticscholar.org/paper/dc191aff30c3abe780f8db5d83207a251794e8de,Semantic/Filtered
Spectrofluorometric characterization of dissolved organic matter for indication of precursor organic material and aromaticity,2775,D. McKnight; E. Boyer; P. Westerhoff; P. Doran; T. Kulbe; D. Andersen,https://www.semanticscholar.org/paper/19008b44c6fdeb161105b2e600618b15f5e3d74c,Semantic/Filtered
Wood handbook : wood as an engineering material,2722,R. Ross,https://www.semanticscholar.org/paper/5af2f0a869100c942ea63c9627e034f48ca37125,Semantic/Filtered
How to Read and Interpret FTIR Spectroscope of Organic Material,1850,A. Nandiyanto; R. Oktiani; R. Ragadhita,https://www.semanticscholar.org/paper/a3d0e63a5e989ef36e841ab3db6c48b9921aeacb,Semantic/Filtered
A fluorene-terminated hole-transporting material for highly efficient and stable perovskite solar cells,1824,N. Jeon; Hyejin Na; E. Jung; Tae-Youl Yang; Yong Guk Lee; Geunjin Kim; H. Shin; Sang Il Seok; Jaemin Lee; Jangwon Seo,https://www.semanticscholar.org/paper/cd4c2eb107c8cad3447fe0db846dbae4c6058515,Semantic/Filtered
Crystal Graph Convolutional Neural Networks for an Accurate and Interpretable Prediction of Material Properties.,1729,T. Xie; J. Grossman,https://www.semanticscholar.org/paper/d133cb102ad0f81e3fd17a7db090b28afc124c4a,Semantic/Filtered
Processing bulk natural wood into a high-performance structural material,1239,Jianwei Song; Chaoji Chen; Shuze Zhu; Mingwei Zhu; J. Dai; Upamanyu Ray; Yiju Li; Yudi Kuang; Yongfeng Li; Nelson Quispe; Yonggang Yao; Amy Gong; U. Leiste; Hugh Alan Bruck; J. Y. Zhu; Azhar Vellore; Heng Li; Marilyn L. Minus; Z. Jia; A. Martini; Teng Li; Liangbing Hu,https://www.semanticscholar.org/paper/ebb83681967d065b6b47d483607fc793a03d5a10,Semantic/Filtered
A radiative cooling structural material,1220,Tian Li; Yao Zhai; Shuaiming He; Wentao Gan; Zhiyuan Wei; Mohammad Heidarinejad; Daniel A. Dalgo; Ruiyu Mi; Xinpeng Zhao; Jianwei Song; J. Dai; Chaoji Chen; Ablimit Aili; Azhar Vellore; A. Martini; Ronggui Yang; J. Srebric; Xiaobo Yin; Liangbing Hu,https://www.semanticscholar.org/paper/0355e1ec25acb9be83063ac5b0e410a2e23e0bf6,Semantic/Filtered
Developing fibrillated cellulose as a sustainable technological material,1206,Tian Li; Chaoji Chen; Alexandra H. Brozena; J. Zhu; Li-Xing Xu; C. Driemeier; J. Dai; O. Rojas; A. Isogai; L. Wågberg; Liangbing Hu,https://www.semanticscholar.org/paper/d073b86dbc00af83630c546e1907a74b20acf2dc,Semantic/Filtered
Material-structure-performance integrated laser-metal additive manufacturing,1200,D. Gu; Xinyu Shi; R. Poprawe; D. Bourell; R. Setchi; Jihong Zhu,https://www.semanticscholar.org/paper/3d1a575ad72f77a7494eb342e80e46b966c82aba,Semantic/Filtered
Material Inhomogeneities in Elasticity,777,G. Maugin,https://www.semanticscholar.org/paper/94794a2e1111820ec20dd78305157878e64e5672,Semantic/Filtered
Material Science and Engineering,525,Fadi Hage Chehade; Chen Hu; Ke Wang,https://www.semanticscholar.org/paper/95792e2c19e5f79082ffa856048f730878c79a49,Semantic/Filtered
